Num ordine;Data ordine;Nominativo;B2B;Categoria;Prodotto;Periodo consegna;MM consegna ordine;AA consegna ordine;GG consegna ordine;Prz unitario;Unità misura;Qta;Tot riga;Imponibile ordine;IVA;Spese spedizione e consegna;Tot ordine;Transazione;Data consegna ordine;Mod pag GG;Pagamento
2018-000044;18/11/2018;RagSoc-0051;RagSoc;Erbe officinali;Erbe diverse;Annuale;1;2019;11; 62,14 € ;kg;11;683,54;683,54;20%;1;821,248;Differita;11/01/2019;120;18/03/2019
2018-000052;31/12/2018;Privato-0605;Privato;Erbe officinali;Erbe diverse;Annuale;1;2019;2; 62,14 € ;kg;10;621,4;621,4;20%;26;771,68;Differita;02/01/2019;22;22/01/2019
2018-000103;10/12/2018;RagSoc-0112;RagSoc;Altre piante;Piante per l'industria;Annuale;1;2019;12; 37,73 € ;Pezzo;5;188,65;188,65;20%;4;230,38;Differita;12/01/2019;12;22/12/2018
2018-000106;26/12/2018;Privato-0298;Privato;Altre piante;Alberi e fiori da giardino;Annuale;1;2019;10; 37,71 € ;Pezzo;3;113,13;113,13;20%;15;150,756;Differita;10/01/2019;100;05/04/2019
2018-000117;16/12/2018;RagSoc-0080;RagSoc;Altre piante;Piante d'arredo;Annuale;1;2019;3; 32,01 € ;Pezzo;13;416,13;416,13;20%;0;499,356;Differita;03/01/2019;5;21/12/2018
2018-000123;20/12/2018;RagSoc-0071;RagSoc;Spezie piante aromatiche;Alloro;Annuale;1;2019;25; 1,36 € ;Confezione;9;12,24;12,24;20%;0;14,688;Differita;25/01/2019;46;04/02/2019
2018-000136;29/11/2018;RagSoc-0109;RagSoc;Altre piante;Piante d'arredo;Annuale;1;2019;25; 32,01 € ;Pezzo;6;192,06;192,06;20%;9;239,472;Differita;25/01/2019;104;13/03/2019
2018-000138;02/12/2018;RagSoc-0118;RagSoc;Altre piante;Piante per l'industria;Annuale;1;2019;13; 37,73 € ;Pezzo;19;716,87;716,87;20%;22;882,244;Differita;13/01/2019;42;13/01/2019
2018-000162;28/11/2018;RagSoc-0088;RagSoc;Altre piante;Alberi e fiori da giardino;Annuale;1;2019;1; 37,71 € ;Pezzo;19;716,49;716,49;20%;2;861,788;Differita;01/01/2019;65;01/02/2019
2018-000211;29/12/2018;Privato-0769;Privato;Altre piante;Piante per l'industria;Annuale;1;2019;7; 37,73 € ;Pezzo;5;188,65;188,65;20%;0;226,38;Differita;07/01/2019;2;31/12/2018
